customer_id,recency_days,frequency,monetary,avg_order_value,customer_tenure_days,segment
12081,64,1,154.45,154.45,0,Hibernating Need-Attention
12082,27,1,102.35,102.35,0,Active Low-Frequency / Promising
12083,5,4,604.34,151.08,261,Loyal High-Value Champions
12084,25,5,556.67,111.33,66,Loyal High-Value Champions
12085,26,1,151.75,151.75,0,Active Low-Frequency / Promising
12086,86,2,129.43,64.72,347,Hibernating Need-Attention
12087,66,1,113.02,113.02,0,Hibernating Need-Attention
12088,142,20,2652.35,132.62,323,Hibernating Need-Attention
12089,42,1,96.44,96.44,0,Active Low-Frequency / Promising
12090,9,5,656.5,131.3,117,Loyal High-Value Champions
12091,82,2,450.19,225.1,113,Hibernating Need-Attention
12092,93,2,150.29,75.14,185,Hibernating Need-Attention
12093,54,1,189.13,189.13,0,Active Low-Frequency / Promising
12094,96,1,82.03,82.03,0,Hibernating Need-Attention
12095,45,1,183.02,183.02,0,Active Low-Frequency / Promising
12096,49,1,292.16,292.16,0,Active Low-Frequency / Promising
12097,37,1,115.18,115.18,0,Active Low-Frequency / Promising
12098,2,3,383.73,127.91,297,Active Low-Frequency / Promising
12099,8,1,111.98,111.98,0,Active Low-Frequency / Promising
12100,3,1,145.52,145.52,0,Active Low-Frequency / Promising
12101,66,8,858.06,107.26,151,Hibernating Need-Attention
12102,25,4,352.49,88.12,168,Loyal High-Value Champions
12103,47,5,611.2,122.24,230,Hibernating Need-Attention
12104,155,20,2560.14,128.01,333,Hibernating Need-Attention
12105,19,1,103.34,103.34,0,Active Low-Frequency / Promising
12106,35,1,198.56,198.56,0,Active Low-Frequency / Promising
12107,92,3,419.48,139.83,305,Hibernating Need-Attention
12108,17,2,185.43,92.72,51,Active Low-Frequency / Promising
12109,6,1,195.69,195.69,0,Active Low-Frequency / Promising
12110,23,3,217.2,72.4,143,Active Low-Frequency / Promising
12111,12,1,76.08,76.08,0,Active Low-Frequency / Promising
12112,173,1,122.86,122.86,0,Hibernating Need-Attention
12113,108,1,143.13,143.13,0,Hibernating Need-Attention
12114,66,2,235.06,117.53,195,Hibernating Need-Attention
12115,134,2,218.43,109.22,299,Hibernating Need-Attention
12116,106,1,155.54,155.54,0,Hibernating Need-Attention
12117,14,4,431.42,107.86,195,Loyal High-Value Champions
12118,146,1,63.46,63.46,0,Hibernating Need-Attention
12119,51,1,149.13,149.13,0,Active Low-Frequency / Promising
12120,108,4,529.38,132.34,163,Hibernating Need-Attention
12121,148,8,778.8,97.35,340,Hibernating Need-Attention
12122,25,4,588.76,147.19,66,Loyal High-Value Champions
12123,8,3,288.57,96.19,233,Active Low-Frequency / Promising
12124,17,2,362.48,181.24,163,Active Low-Frequency / Promising
12125,37,2,273.61,136.8,273,Active Low-Frequency / Promising
12126,111,1,165.68,165.68,0,Hibernating Need-Attention
12127,129,1,62.49,62.49,0,Hibernating Need-Attention
12128,1,1,288.31,288.31,0,Active Low-Frequency / Promising
12129,47,1,178.18,178.18,0,Active Low-Frequency / Promising
12130,36,2,197.45,98.72,250,Active Low-Frequency / Promising
12131,17,1,127.96,127.96,0,Active Low-Frequency / Promising
12132,9,1,236.51,236.51,0,Active Low-Frequency / Promising
12133,27,1,137.3,137.3,0,Active Low-Frequency / Promising
12134,187,2,249.43,124.72,355,Lost / At-Risk One-Timers
12135,26,1,185.89,185.89,0,Active Low-Frequency / Promising
12136,48,4,262.85,65.71,310,Hibernating Need-Attention
12137,79,1,187.42,187.42,0,Hibernating Need-Attention
12138,30,1,97.46,97.46,0,Active Low-Frequency / Promising
12139,232,2,272.34,136.17,449,Lost / At-Risk One-Timers
12140,214,3,413.48,137.83,320,Hibernating Need-Attention
12141,19,1,226.26,226.26,0,Active Low-Frequency / Promising
12142,45,2,280.16,140.08,263,Active Low-Frequency / Promising
12143,24,2,187.8,93.9,89,Active Low-Frequency / Promising
12144,22,1,107.49,107.49,0,Active Low-Frequency / Promising
12145,3,4,544.5,136.12,66,Loyal High-Value Champions
12146,62,3,384.41,128.14,250,Hibernating Need-Attention
12147,46,2,213.62,106.81,109,Active Low-Frequency / Promising
12148,4,4,454.87,113.72,121,Loyal High-Value Champions
12149,22,4,554.72,138.68,302,Loyal High-Value Champions
12150,156,2,203.49,101.74,284,Hibernating Need-Attention
12151,18,3,191.62,63.87,141,Active Low-Frequency / Promising
12152,11,2,297.76,148.88,286,Active Low-Frequency / Promising
12153,44,2,289.61,144.8,269,Active Low-Frequency / Promising
12154,276,2,131.36,65.68,338,Lost / At-Risk One-Timers
12155,19,3,251.55,83.85,283,Active Low-Frequency / Promising
12156,73,1,193.28,193.28,0,Hibernating Need-Attention
12157,94,4,316.4,79.1,196,Hibernating Need-Attention
12158,18,4,445.23,111.31,147,Loyal High-Value Champions
12159,85,1,139.66,139.66,0,Hibernating Need-Attention
12160,30,3,364.22,121.41,300,Active Low-Frequency / Promising
12161,66,1,109.41,109.41,0,Hibernating Need-Attention
12162,66,1,96.67,96.67,0,Hibernating Need-Attention
12163,50,2,300.04,150.02,270,Active Low-Frequency / Promising
12164,7,1,94.73,94.73,0,Active Low-Frequency / Promising
12165,118,3,476.88,158.96,415,Hibernating Need-Attention
12166,26,3,460.21,153.4,264,Active Low-Frequency / Promising
12167,14,1,59.46,59.46,0,Active Low-Frequency / Promising
12168,3,1,186.67,186.67,0,Active Low-Frequency / Promising
12169,59,1,102.12,102.12,0,Active Low-Frequency / Promising
12170,74,2,284.23,142.12,222,Hibernating Need-Attention
12171,2,12,587.0,48.92,233,Loyal High-Value Champions
12172,47,2,127.16,63.58,162,Active Low-Frequency / Promising
12173,17,1,142.88,142.88,0,Active Low-Frequency / Promising
12174,68,2,133.63,66.82,141,Hibernating Need-Attention
12175,13,1,142.34,142.34,0,Active Low-Frequency / Promising
12176,77,3,266.73,88.91,314,Hibernating Need-Attention
12177,32,1,217.44,217.44,0,Active Low-Frequency / Promising
12178,180,3,433.2,144.4,298,Hibernating Need-Attention
12179,10,1,154.17,154.17,0,Active Low-Frequency / Promising
12180,28,8,594.52,74.32,93,Loyal High-Value Champions
12181,8,1,80.46,80.46,0,Active Low-Frequency / Promising
12182,169,2,105.84,52.92,246,Hibernating Need-Attention
12183,137,5,381.55,76.31,267,Hibernating Need-Attention
12184,20,1,148.03,148.03,0,Active Low-Frequency / Promising
12185,71,5,754.41,150.88,284,Hibernating Need-Attention
12186,111,2,293.74,146.87,138,Hibernating Need-Attention
12187,53,1,146.1,146.1,0,Active Low-Frequency / Promising
12188,50,1,214.9,214.9,0,Active Low-Frequency / Promising
12189,18,2,304.16,152.08,198,Active Low-Frequency / Promising
12190,7,1,87.03,87.03,0,Active Low-Frequency / Promising
12191,148,2,402.13,201.06,355,Hibernating Need-Attention
12192,150,1,266.46,266.46,0,Hibernating Need-Attention
12193,66,2,223.08,111.54,282,Hibernating Need-Attention
12194,27,1,74.09,74.09,0,Active Low-Frequency / Promising
12195,28,4,391.93,97.98,259,Loyal High-Value Champions
12196,85,8,866.73,108.34,213,Hibernating Need-Attention
12197,148,8,1185.32,148.16,443,Hibernating Need-Attention
12198,142,2,205.67,102.84,234,Hibernating Need-Attention
12199,99,1,106.78,106.78,0,Hibernating Need-Attention
12200,67,3,482.65,160.88,346,Hibernating Need-Attention
12201,6,1,87.15,87.15,0,Active Low-Frequency / Promising
12202,12,1,97.26,97.26,0,Active Low-Frequency / Promising
12203,149,1,142.51,142.51,0,Hibernating Need-Attention
12204,61,1,177.89,177.89,0,Hibernating Need-Attention
12205,1,3,513.94,171.31,191,Active Low-Frequency / Promising
12206,7,2,239.47,119.74,167,Active Low-Frequency / Promising
12207,71,1,203.4,203.4,0,Hibernating Need-Attention
12208,1,1,101.06,101.06,0,Active Low-Frequency / Promising
12209,12,20,2850.84,142.54,83,Loyal High-Value Champions
12210,52,1,131.68,131.68,0,Active Low-Frequency / Promising
12211,77,1,184.53,184.53,0,Hibernating Need-Attention
12212,69,1,51.86,51.86,0,Hibernating Need-Attention
12213,17,3,496.93,165.64,236,Active Low-Frequency / Promising
12214,81,2,252.91,126.46,340,Hibernating Need-Attention
12215,18,1,79.78,79.78,0,Active Low-Frequency / Promising
12216,26,1,140.27,140.27,0,Active Low-Frequency / Promising
12217,90,2,142.03,71.02,186,Hibernating Need-Attention
12218,69,2,335.43,167.72,225,Hibernating Need-Attention
12219,123,1,118.3,118.3,0,Hibernating Need-Attention
12220,70,8,975.42,121.93,300,Hibernating Need-Attention
12221,55,1,108.28,108.28,0,Active Low-Frequency / Promising
12222,7,1,54.98,54.98,0,Active Low-Frequency / Promising
12223,30,5,334.01,66.8,317,Loyal High-Value Champions
12224,21,1,50.43,50.43,0,Active Low-Frequency / Promising
12225,19,2,293.88,146.94,305,Active Low-Frequency / Promising
12226,235,1,86.96,86.96,0,Lost / At-Risk One-Timers
12227,33,1,127.69,127.69,0,Active Low-Frequency / Promising
12228,145,12,877.92,73.16,175,Hibernating Need-Attention
12229,65,1,85.57,85.57,0,Hibernating Need-Attention
12230,103,4,523.62,130.9,397,Hibernating Need-Attention
12231,46,1,92.09,92.09,0,Active Low-Frequency / Promising
12232,56,1,153.39,153.39,0,Active Low-Frequency / Promising
12233,45,1,136.72,136.72,0,Active Low-Frequency / Promising
12234,15,2,251.72,125.86,266,Active Low-Frequency / Promising
12235,84,1,118.6,118.6,0,Hibernating Need-Attention
12236,22,4,565.01,141.25,304,Loyal High-Value Champions
12237,2,1,221.16,221.16,0,Active Low-Frequency / Promising
12238,68,8,437.39,54.67,241,Hibernating Need-Attention
12239,13,1,107.04,107.04,0,Active Low-Frequency / Promising
12240,184,4,536.49,134.12,254,Hibernating Need-Attention
12241,201,3,159.45,53.15,337,Hibernating Need-Attention
12242,161,3,351.25,117.08,226,Hibernating Need-Attention
12243,31,3,508.1,169.37,138,Active Low-Frequency / Promising
12244,2,3,462.94,154.31,229,Active Low-Frequency / Promising
12245,172,2,204.14,102.07,460,Hibernating Need-Attention
12246,37,1,81.67,81.67,0,Active Low-Frequency / Promising
12247,222,1,158.0,158.0,0,Lost / At-Risk One-Timers
12248,216,5,631.65,126.33,289,Hibernating Need-Attention
12249,125,2,155.19,77.6,260,Hibernating Need-Attention
12250,23,3,188.99,63.0,160,Active Low-Frequency / Promising
12251,32,1,146.19,146.19,0,Active Low-Frequency / Promising
12252,124,1,160.14,160.14,0,Hibernating Need-Attention
12253,25,1,137.45,137.45,0,Active Low-Frequency / Promising
12254,13,2,293.94,146.97,154,Active Low-Frequency / Promising
12255,53,1,110.6,110.6,0,Active Low-Frequency / Promising
12256,179,1,155.81,155.81,0,Hibernating Need-Attention
12257,78,1,98.9,98.9,0,Hibernating Need-Attention
12258,55,1,99.73,99.73,0,Active Low-Frequency / Promising
12259,7,2,288.62,144.31,261,Active Low-Frequency / Promising
12260,63,1,136.55,136.55,0,Hibernating Need-Attention
12261,300,3,354.08,118.03,373,Hibernating Need-Attention
12262,10,1,165.35,165.35,0,Active Low-Frequency / Promising
12263,48,1,89.69,89.69,0,Active Low-Frequency / Promising
12264,137,1,185.47,185.47,0,Hibernating Need-Attention
12265,88,1,113.02,113.02,0,Hibernating Need-Attention
12266,78,1,137.23,137.23,0,Hibernating Need-Attention
12267,79,1,158.42,158.42,0,Hibernating Need-Attention
12268,29,2,181.74,90.87,286,Active Low-Frequency / Promising
12269,23,1,154.7,154.7,0,Active Low-Frequency / Promising
12270,108,2,117.53,58.76,300,Hibernating Need-Attention
12271,108,4,329.69,82.42,206,Hibernating Need-Attention
12272,132,3,345.2,115.07,261,Hibernating Need-Attention
12273,159,1,150.1,150.1,0,Hibernating Need-Attention
12274,47,1,234.99,234.99,0,Active Low-Frequency / Promising
12275,46,1,192.2,192.2,0,Active Low-Frequency / Promising
12276,105,1,214.47,214.47,0,Hibernating Need-Attention
12277,69,12,1181.46,98.46,152,Hibernating Need-Attention
12278,79,1,130.05,130.05,0,Hibernating Need-Attention
12279,104,1,126.21,126.21,0,Hibernating Need-Attention
12280,144,2,165.98,82.99,250,Hibernating Need-Attention
12281,27,2,169.74,84.87,263,Active Low-Frequency / Promising
12282,31,2,280.49,140.24,57,Active Low-Frequency / Promising
12283,7,1,152.11,152.11,0,Active Low-Frequency / Promising
12284,57,1,86.8,86.8,0,Active Low-Frequency / Promising
12285,3,1,74.39,74.39,0,Active Low-Frequency / Promising
12286,41,1,171.41,171.41,0,Active Low-Frequency / Promising
12287,51,1,157.81,157.81,0,Active Low-Frequency / Promising
12288,22,1,209.05,209.05,0,Active Low-Frequency / Promising
12289,59,1,72.95,72.95,0,Active Low-Frequency / Promising
12290,3,1,110.65,110.65,0,Active Low-Frequency / Promising
12291,3,1,175.8,175.8,0,Active Low-Frequency / Promising
12292,113,2,150.2,75.1,136,Hibernating Need-Attention
12293,30,2,232.66,116.33,181,Active Low-Frequency / Promising
12294,9,3,294.02,98.01,246,Active Low-Frequency / Promising
12295,49,1,44.29,44.29,0,Active Low-Frequency / Promising
12296,96,1,116.35,116.35,0,Hibernating Need-Attention
12297,16,1,47.89,47.89,0,Active Low-Frequency / Promising
12298,64,2,127.3,63.65,261,Hibernating Need-Attention
12299,6,2,235.98,117.99,214,Active Low-Frequency / Promising
12300,4,1,156.7,156.7,0,Active Low-Frequency / Promising
12301,50,5,808.22,161.64,322,Hibernating Need-Attention
12302,51,1,137.34,137.34,0,Active Low-Frequency / Promising
12303,66,1,91.65,91.65,0,Hibernating Need-Attention
12304,85,2,297.42,148.71,136,Hibernating Need-Attention
12305,243,4,356.27,89.07,408,Hibernating Need-Attention
12306,48,2,122.46,61.23,223,Active Low-Frequency / Promising
12307,26,3,327.19,109.06,61,Active Low-Frequency / Promising
12308,104,1,75.59,75.59,0,Hibernating Need-Attention
12309,21,3,265.13,88.38,291,Active Low-Frequency / Promising
12310,38,1,159.95,159.95,0,Active Low-Frequency / Promising
12311,6,4,598.12,149.53,56,Loyal High-Value Champions
12312,2,1,155.97,155.97,0,Active Low-Frequency / Promising
12313,214,3,352.17,117.39,250,Hibernating Need-Attention
12314,118,1,161.48,161.48,0,Hibernating Need-Attention
12315,78,2,163.12,81.56,136,Hibernating Need-Attention
12316,35,1,103.3,103.3,0,Active Low-Frequency / Promising
12317,13,2,167.07,83.54,62,Active Low-Frequency / Promising
12318,12,1,168.01,168.01,0,Active Low-Frequency / Promising
12319,19,1,159.31,159.31,0,Active Low-Frequency / Promising
12320,52,1,179.59,179.59,0,Active Low-Frequency / Promising
12321,82,1,121.98,121.98,0,Hibernating Need-Attention
12322,71,4,500.21,125.05,198,Hibernating Need-Attention
12323,22,1,117.85,117.85,0,Active Low-Frequency / Promising
12324,202,12,1643.56,136.96,443,Hibernating Need-Attention
12325,88,1,214.72,214.72,0,Hibernating Need-Attention
12326,53,1,211.56,211.56,0,Active Low-Frequency / Promising
12327,62,3,157.01,52.34,262,Hibernating Need-Attention
12328,36,2,227.57,113.78,310,Active Low-Frequency / Promising
12329,19,1,101.23,101.23,0,Active Low-Frequency / Promising
12330,29,2,185.12,92.56,305,Active Low-Frequency / Promising
12331,93,2,160.88,80.44,199,Hibernating Need-Attention
12332,1,1,115.73,115.73,0,Active Low-Frequency / Promising
12333,9,20,2321.34,116.07,265,Loyal High-Value Champions
12334,4,8,531.3,66.41,93,Loyal High-Value Champions
12335,3,2,233.75,116.88,66,Active Low-Frequency / Promising
12336,126,1,209.61,209.61,0,Hibernating Need-Attention
12337,80,2,232.28,116.14,251,Hibernating Need-Attention
12338,42,1,98.77,98.77,0,Active Low-Frequency / Promising
12339,7,1,139.17,139.17,0,Active Low-Frequency / Promising
12340,44,1,232.6,232.6,0,Active Low-Frequency / Promising
12341,42,1,91.04,91.04,0,Active Low-Frequency / Promising
12342,13,4,245.32,61.33,286,Loyal High-Value Champions
12343,37,2,166.56,83.28,86,Active Low-Frequency / Promising
12344,34,2,319.29,159.65,302,Active Low-Frequency / Promising
12345,63,1,176.55,176.55,0,Hibernating Need-Attention
12346,66,1,130.45,130.45,0,Hibernating Need-Attention
12347,4,1,91.11,91.11,0,Active Low-Frequency / Promising
12348,31,12,1282.46,106.87,168,Loyal High-Value Champions
12349,64,1,54.94,54.94,0,Hibernating Need-Attention
12350,46,4,451.98,113.0,311,Hibernating Need-Attention
12351,127,2,308.58,154.29,393,Hibernating Need-Attention
12352,70,1,226.59,226.59,0,Hibernating Need-Attention
12353,12,2,307.58,153.79,192,Active Low-Frequency / Promising
12354,5,1,130.04,130.04,0,Active Low-Frequency / Promising
12355,67,4,217.05,54.26,276,Hibernating Need-Attention
12356,2,4,616.64,154.16,138,Loyal High-Value Champions
12357,58,1,71.44,71.44,0,Active Low-Frequency / Promising
12358,184,1,184.99,184.99,0,Lost / At-Risk One-Timers
12359,56,2,165.14,82.57,255,Active Low-Frequency / Promising
12360,32,5,285.98,57.2,223,Loyal High-Value Champions
12361,68,1,102.29,102.29,0,Hibernating Need-Attention
12362,40,2,203.85,101.92,318,Active Low-Frequency / Promising
12363,52,2,202.25,101.12,206,Active Low-Frequency / Promising
12364,185,2,346.88,173.44,375,Lost / At-Risk One-Timers
12365,32,1,95.39,95.39,0,Active Low-Frequency / Promising
12366,212,2,126.68,63.34,467,Lost / At-Risk One-Timers
12367,154,4,421.5,105.38,359,Hibernating Need-Attention
12368,15,1,88.34,88.34,0,Active Low-Frequency / Promising
12369,5,1,179.52,179.52,0,Active Low-Frequency / Promising
12370,7,8,906.36,113.3,94,Loyal High-Value Champions
12371,2,1,178.25,178.25,0,Active Low-Frequency / Promising
12372,7,4,480.07,120.02,222,Loyal High-Value Champions
12373,75,1,141.52,141.52,0,Hibernating Need-Attention
12374,5,1,198.38,198.38,0,Active Low-Frequency / Promising
12375,25,4,356.43,89.11,66,Loyal High-Value Champions
12376,122,1,145.23,145.23,0,Hibernating Need-Attention
12377,2,1,137.18,137.18,0,Active Low-Frequency / Promising
12378,110,1,93.73,93.73,0,Hibernating Need-Attention
12379,22,2,315.67,157.84,226,Active Low-Frequency / Promising
12380,9,1,153.44,153.44,0,Active Low-Frequency / Promising
12381,78,1,162.64,162.64,0,Hibernating Need-Attention
12382,65,8,1128.22,141.03,335,Hibernating Need-Attention
12383,137,1,102.44,102.44,0,Hibernating Need-Attention
12384,87,2,151.86,75.93,273,Hibernating Need-Attention
12385,106,1,209.72,209.72,0,Hibernating Need-Attention
12386,22,3,256.43,85.48,261,Active Low-Frequency / Promising
12387,13,1,146.87,146.87,0,Active Low-Frequency / Promising
12388,91,8,942.9,117.86,229,Hibernating Need-Attention
12389,107,1,170.68,170.68,0,Hibernating Need-Attention
12390,303,1,100.71,100.71,0,Lost / At-Risk One-Timers
12391,35,1,172.45,172.45,0,Active Low-Frequency / Promising
12392,31,1,196.87,196.87,0,Active Low-Frequency / Promising
12393,98,1,75.36,75.36,0,Hibernating Need-Attention
12394,28,1,253.52,253.52,0,Active Low-Frequency / Promising
12395,174,3,512.22,170.74,444,Hibernating Need-Attention
12396,128,1,144.26,144.26,0,Hibernating Need-Attention
12397,37,1,135.97,135.97,0,Active Low-Frequency / Promising
12398,91,2,236.4,118.2,376,Hibernating Need-Attention
12399,92,2,263.1,131.55,140,Hibernating Need-Attention
12400,8,1,80.95,80.95,0,Active Low-Frequency / Promising
12401,152,1,52.87,52.87,0,Hibernating Need-Attention
12402,46,1,425.35,425.35,0,Active Low-Frequency / Promising
12403,114,2,168.24,84.12,210,Hibernating Need-Attention
12404,26,2,297.92,148.96,192,Active Low-Frequency / Promising
12405,147,1,188.8,188.8,0,Hibernating Need-Attention
12406,33,3,337.92,112.64,60,Active Low-Frequency / Promising
12407,1,3,494.11,164.7,142,Active Low-Frequency / Promising
12408,154,2,311.19,155.6,348,Hibernating Need-Attention
12409,7,4,361.82,90.46,205,Loyal High-Value Champions
12410,26,1,142.19,142.19,0,Active Low-Frequency / Promising
12411,195,1,62.43,62.43,0,Lost / At-Risk One-Timers
12412,196,1,94.55,94.55,0,Lost / At-Risk One-Timers
12413,56,1,65.38,65.38,0,Active Low-Frequency / Promising
12414,65,1,172.16,172.16,0,Hibernating Need-Attention
12415,39,5,771.97,154.39,67,Loyal High-Value Champions
12416,23,1,101.02,101.02,0,Active Low-Frequency / Promising
12417,26,1,97.4,97.4,0,Active Low-Frequency / Promising
12418,73,1,56.6,56.6,0,Hibernating Need-Attention
12419,91,5,414.12,82.82,388,Hibernating Need-Attention
12420,102,1,129.87,129.87,0,Hibernating Need-Attention
12421,102,1,91.44,91.44,0,Hibernating Need-Attention
12422,7,1,195.02,195.02,0,Active Low-Frequency / Promising
12423,45,1,92.42,92.42,0,Active Low-Frequency / Promising
12424,4,12,952.54,79.38,133,Loyal High-Value Champions
12425,52,8,1160.39,145.05,271,Hibernating Need-Attention
12426,38,1,94.21,94.21,0,Active Low-Frequency / Promising
12427,143,8,1210.2,151.28,350,Hibernating Need-Attention
12428,29,2,248.99,124.5,202,Active Low-Frequency / Promising
12429,9,4,595.11,148.78,307,Loyal High-Value Champions
12430,11,1,149.81,149.81,0,Active Low-Frequency / Promising
12431,94,1,364.71,364.71,0,Hibernating Need-Attention
12432,63,1,218.92,218.92,0,Hibernating Need-Attention
12433,7,2,172.65,86.32,44,Active Low-Frequency / Promising
12434,6,1,207.17,207.17,0,Active Low-Frequency / Promising
12435,79,1,107.49,107.49,0,Hibernating Need-Attention
12436,5,1,95.4,95.4,0,Active Low-Frequency / Promising
12437,113,2,200.31,100.16,278,Hibernating Need-Attention
12438,80,1,231.24,231.24,0,Hibernating Need-Attention
12439,6,2,246.26,123.13,204,Active Low-Frequency / Promising
12440,6,8,828.19,103.52,81,Loyal High-Value Champions
12441,281,1,137.09,137.09,0,Lost / At-Risk One-Timers
12442,31,2,259.51,129.76,210,Active Low-Frequency / Promising
12443,31,1,403.36,403.36,0,Active Low-Frequency / Promising
12444,109,4,552.27,138.07,265,Hibernating Need-Attention
12445,192,1,125.68,125.68,0,Lost / At-Risk One-Timers
12446,278,2,218.64,109.32,517,Lost / At-Risk One-Timers
12447,91,3,247.01,82.34,178,Hibernating Need-Attention
12448,31,5,276.67,55.33,299,Loyal High-Value Champions
12449,6,2,158.08,79.04,31,Active Low-Frequency / Promising
12450,98,1,100.05,100.05,0,Hibernating Need-Attention
12451,54,2,348.78,174.39,167,Active Low-Frequency / Promising
12452,36,4,461.98,115.5,324,Loyal High-Value Champions
12453,154,2,179.75,89.88,370,Hibernating Need-Attention
12454,8,1,245.95,245.95,0,Active Low-Frequency / Promising
12455,45,5,285.72,57.14,212,Loyal High-Value Champions
12456,1,2,212.38,106.19,138,Active Low-Frequency / Promising
12457,42,2,276.47,138.24,127,Active Low-Frequency / Promising
12458,4,1,153.5,153.5,0,Active Low-Frequency / Promising
12459,9,2,220.69,110.34,104,Active Low-Frequency / Promising
12460,9,1,165.42,165.42,0,Active Low-Frequency / Promising
12461,69,2,282.16,141.08,199,Hibernating Need-Attention
